"town","landUse","status","acres"
"CarolStream","water","canopy",11.17
"Carpentersville","agriculture","canopy",23.57
"Carpentersville","cemetery","canopy",0.96
"Carpentersville","commercial","canopy",78.57
"Carpentersville","golf","canopy",2.08
"Carpentersville","industrial","canopy",0
"Carpentersville","institutional","canopy",30.98
"Carpentersville","natural area","canopy",439.49
"Carpentersville","other","canopy",0.11
"Carpentersville","park","canopy",52.74
"Carpentersville","residential","canopy",672.58
"Carpentersville","transit","canopy",203.04
"Carpentersville","utility","canopy",0.98
"Carpentersville","vacant","canopy",175.49
"Carpentersville","water","canopy",6.87
"Cary","agriculture","canopy",15.31
"Cary","cemetery","canopy",1.62
"Cary","commercial","canopy",46.5
"Cary","golf","canopy",35.57
"Cary","industrial","canopy",0
"Cary","institutional","canopy",34.84
"Cary","natural area","canopy",215.99
"Cary","other","canopy",0.06
"Cary","park","canopy",32.56
"Cary","residential","canopy",528.27
"Cary","transit","canopy",162.44
"Cary","utility","canopy",5.33
"Cary","vacant","canopy",48.48
"Cary","water","canopy",4.35
"Channahon","agriculture","canopy",173.85
"Channahon","cemetery","canopy",2.5
"Channahon","commercial","canopy",62.34
"Channahon","golf","canopy",29.54
"Channahon","industrial","canopy",0
"Channahon","institutional","canopy",9.99
"Channahon","natural area","canopy",154.44
"Channahon","other","canopy",7.75
"Channahon","park","canopy",76.04
"Channahon","residential","canopy",403.37
"Channahon","transit","canopy",103.16
"Channahon","utility","canopy",1.63
"Channahon","vacant","canopy",225.35
"Channahon","water","canopy",36.01
"ChannelLake","agriculture","canopy",45.79
"ChannelLake","cemetery","canopy",0
"ChannelLake","commercial","canopy",21.28
"ChannelLake","golf","canopy",0
"ChannelLake","industrial","canopy",0
"ChannelLake","institutional","canopy",0
"ChannelLake","natural area","canopy",0.17
"ChannelLake","other","canopy",0
"ChannelLake","park","canopy",0
"ChannelLake","residential","canopy",271.4
"ChannelLake","transit","canopy",39.91
"ChannelLake","utility","canopy",0
"ChannelLake","vacant","canopy",68.8
"ChannelLake","water","canopy",4.03
"Chemung","agriculture","canopy",0
"Chemung","cemetery","canopy",0
"Chemung","commercial","canopy",1.09
"Chemung","golf","canopy",0
"Chemung","industrial","canopy",0
"Chemung","institutional","canopy",6.29
"Chemung","natural area","canopy",153.01
"Chemung","other","canopy",0
"Chemung","park","canopy",7.71
"Chemung","residential","canopy",183.97
"Chemung","transit","canopy",27.41
"Chemung","utility","canopy",1.01
"Chemung","vacant","canopy",15.31
"Chemung","water","canopy",0.6
"Chicago","agriculture","canopy",1.94
"Chicago","cemetery","canopy",516.59
"Chicago","commercial","canopy",846.96
"Chicago","golf","canopy",403.66
"Chicago","industrial","canopy",0
"Chicago","institutional","canopy",751.75
"Chicago","natural area","canopy",2219.19
"Chicago","other","canopy",32.42
"Chicago","park","canopy",1409.33
"Chicago","residential","canopy",7679.39
"Chicago","transit","canopy",11758.9
"Chicago","utility","canopy",169.19
"Chicago","vacant","canopy",1573.43
"Chicago","water","canopy",92.88
"ChicagoHeights","agriculture","canopy",29.7
"ChicagoHeights","cemetery","canopy",0.83
"ChicagoHeights","commercial","canopy",96.79
"ChicagoHeights","golf","canopy",26.07
"ChicagoHeights","industrial","canopy",0
"ChicagoHeights","institutional","canopy",55.2
"ChicagoHeights","natural area","canopy",236.82
"ChicagoHeights","other","canopy",0
"ChicagoHeights","park","canopy",9.13
"ChicagoHeights","residential","canopy",509
"ChicagoHeights","transit","canopy",371.56
"ChicagoHeights","utility","canopy",21.92
"ChicagoHeights","vacant","canopy",178.86
"ChicagoHeights","water","canopy",4.16
"ChicagoRidge","agriculture","canopy",0
"ChicagoRidge","cemetery","canopy",0.49
"ChicagoRidge","commercial","canopy",13.54
"ChicagoRidge","golf","canopy",13.4
"ChicagoRidge","industrial","canopy",0
"ChicagoRidge","institutional","canopy",1.74
"ChicagoRidge","natural area","canopy",4.96
"ChicagoRidge","other","canopy",0.65
"ChicagoRidge","park","canopy",3.78
"ChicagoRidge","residential","canopy",93.44
"ChicagoRidge","transit","canopy",77.63
